,,"Graphene [kg]","Natural gas, combusted in industrial boiler [m3]","Natural gas, at extraction site [m3]","Acetone Production [kg]","copper sheet [kg]","municipal waste (unspecified) [kg]","Diesel, combusted in industrial boiler [m3]","Gasoline, combusted in equipment [m3]","Electricity, at grid, US, 2000 [kWh]","de-ionised water [kg]","iron (III) chloride, 40% in H2O, at plant [kg]","Hydrogen, liquid, synthesis gas, at plant [kg]","polymethyl methacrylate (PMMA) beads [kg]","Natural gas, processed, at plant [m3]","Iron, sand casted [kg]","Chlorine, production mix, at plant [kg]","Transport, combination truck, average fuel mix [t*km]","Hydrochloric acid, at plant [kg]","Natural gas, processed, for olefins production, at plant [kg]","Transport, pipeline, natural gas [t*km]","Electricity, at grid, US, 2008 [kWh]","Propylene, at plant [kg]","oxygen [kg]","Sulfuric acid, at plant [kg]","benzene [kg]","Transport, barge, average fuel mix [t*km]","transport, train, diesel powered [t*km]","Natural gas, processed, at plant [m3]","Sodium hydroxide, production mix, at plant [kg]","Dummy, TEA gas scrubber, at plant [kg]","Oxygen, liquid, at plant [kg]","Dummy, Disposal, sludge, to sanitary landfill [kg]","Sodium chloride, at plant [kg]","Transport, pipeline, unspecified petroleum products [t*km]","transport, combination truck, diesel powered [t*km]","Natural gas, extracted [kg]","Natural gas, combusted in industrial boiler, at hydrocracker, for propylene [m3]","Electricity, at cogen, for natural gas turbine [kWh]","Sulfur, at plant [kg]","transport, barge, diesel powered [t*km]","Transport, barge, residual fuel oil powered [t*km]"
,,"","","","","Materials production / Metals and semimetals","Wastes / Production residues","","","","Materials production / Water","chemicals / inorganics","","Materials production / Plastics","","","","","","","","","","Materials production / Inorganic chemicals","","Materials production / Organic chemicals","","","","","","","","","","","","","","","",""
"Transport, barge, residual fuel oil powered [t*km]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.504043510890605E-4,0.0,0.0,0.0,0.0,0.0,-0.0771899893068426,0.0,0.0,0.0,0.0,0.0,0.0,-7.164550997779895E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Disposal, solid waste, unspecified, to sanitary landfill [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.855031001218822E-4,0.0,0.0,0.0,0.0,0.0,-3.62140827310137E-4,0.0,-5.0E-4,0.0,0.0,0.0,0.0,-3.1449689987811776E-4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0247,0.0,0.0,-0.0328,0.0,0.0
"Copper [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5134579604074716E-11,0.0,1.9605361E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.768708067214228E-11,0.0,0.0,0.0,0.0,0.0,0.0,6.72E-8,0.0,0.0,0.0,0.0,0.0
"Bituminous coal, combusted in industrial boiler [kg]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0796,-0.005947981252539213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0065520187474607874,0.0,0.0,0.0,-0.0117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mercury [kg]","water / unspecified",0.0,0.0,6.22E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2133881755179993E-10,0.0,4.9998175E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3366118244820006E-10,0.0,0.0,0.0,0.0,0.0,0.0,2.54E-10,0.0,0.0,2.96E-10,0.0,0.0
"NMVOC, non-methane volatile organic compounds, unspecified origin [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.399618426,0.009236819,0.0,0.0,0.0,5.51750160424968E-7,0.0,0.0,0.0120520571,0.0,0.0,5.9479812525392124E-8,0.0,6.5083868E-5,0.0,0.0,0.0,1.05932028211213E-4,4.37244780863342E-6,0.0,6.73647253246748E-4,0.0,1.8466E-5,0.0,6.552018747460787E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sulfide [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0706366254570582E-8,0.0,1.1978587E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1793633745429418E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Residual fuel oil, combusted in industrial boiler [m3]","",0.0,0.0,-5.88E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.65E-11,0.0,-2.977797334271232E-10,0.0,0.0,-4.96E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.65E-11,-3.2802026657287686E-10,0.0,0.0,0.0,0.0,0.0,0.0,-7.98E-10,0.0,0.0,-1.01E-9,0.0,0.0
"Nickel [kg]","water / unspecified",0.0,0.0,5.54E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0E-5,1.2847639505484698E-10,0.0,1.8709364E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4152360494515301E-10,0.0,0.0,0.0,0.0,0.0,0.0,5.78E-8,0.0,0.0,6.9E-8,0.0,0.0
"Zinc [kg]","water / unspecified",0.0,0.0,1.56E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3E-7,1.237180100528156E-10,0.0,1.23401018E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3628198994718438E-10,0.0,0.0,0.0,0.0,0.0,0.0,5.26E-7,0.0,0.0,6.15E-7,0.0,0.0
"Nitrogen oxides [kg]","air / unspecified",0.0,0.0016,0.0,0.0,0.0,0.0,0.00287,0.033472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.327173753554898E-7,0.0,0.0025543235,0.0,0.0,0.0,0.0,0.0,5.0E-5,0.0,0.0,4.9859E-4,0.0,9.172826246445102E-7,0.0,0.0,0.0,0.0,0.0,5.3228E-4,0.0,0.00428050951742419,0.0,0.0,3.5753E-4,3.546E-4
