,,"Cured Graphite Paint, 1 m2, 1 micron [Item(s)]","de-ionised water [kg]","Conductive Graphite Paint [kg]","Electricity, at grid, US, 2000 [kWh]","Natural Graphite, Asia [kg]","Ammonia, steam reforming, liquid, at plant [kg]","Gasoline, combusted in equipment [m3]","Natural gas, combusted in industrial boiler [m3]","Diesel, combusted in industrial boiler [m3]","Transport, combination truck, average fuel mix [t*km]","Natural gas, processed, for olefins production, at plant [kg]","Electricity, at grid, US, 2008 [kWh]","Transport, pipeline, natural gas [t*km]","Transport, barge, average fuel mix [t*km]","transport, train, diesel powered [t*km]","Natural gas, processed, at plant [m3]","transport, combination truck, diesel powered [t*km]","Natural gas, extracted [kg]","transport, barge, diesel powered [t*km]","Transport, barge, residual fuel oil powered [t*km]","Natural gas, at extraction site [m3]"
,,"","Materials production / Water","","","","","","","","","","","","","","","","","","",""
"Methane, fossil [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,9.2063E-4,3.6E-5,6.1E-6,0.0,0.0019,0.0,0.00456686387489079,0.0,9.0485E-7,0.00138,1.2883E-6,0.0,6.4861E-7,6.4329E-7,0.0
"NMVOC, non-methane volatile organic compounds, unspecified origin [kg]","air / unspecified",0.0,5.417237647643124E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8466E-5,0.0,0.0,0.0,0.0,0.0,0.0
"Carbon dioxide, fossil [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.097,2.085,1.96,2.73,0.0,0.053,0.0,1.38468984764995E-4,0.0,0.018949,0.0,0.079876,0.017,0.028149,0.028712,0.0
"Nitrogen oxides [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.033472,0.0016,0.00287,0.0,0.0,0.0,0.0,0.0,4.9859E-4,0.0,5.3228E-4,0.0,3.5753E-4,3.546E-4,0.0
"Sulfur oxides [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,5.0092E-4,1.01E-5,5.99E-4,0.0,0.0,0.0,0.0,0.0,4.1881E-6,0.0,1.759E-5,0.0,6.1985E-6,9.0312E-5,0.0
"Dinitrogen monoxide [kg]","air / unspecified",0.0,2.6769192496663043E-7,0.0,0.0,0.0,0.0,6.0969E-5,3.6E-5,1.32E-5,0.0,0.0,0.0,0.0,0.0,4.7458E-7,0.0,1.9932E-6,0.0,0.0,6.9662E-7,0.0
"Diesel, at refinery [m3]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0E-6,0.0,0.0,0.0,0.0,0.0,-6.482E-9,0.0,-2.7224000000000003E-8,0.0,-9.593300000000002E-9,0.0,0.0
"Particulates, > 2.5 um, and < 10um [kg]","air / unspecified",0.0,4.7028943462030464E-7,0.0,0.0,0.0,0.0,2.6521E-4,1.21E-4,1.2E-4,0.0,0.0,0.0,0.0,0.0,1.2372E-5,0.0,9.1907E-6,0.0,8.8651E-6,8.7924E-6,0.0
"Carbon monoxide, fossil [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.13535,0.00135,6.0E-4,0.0,0.0,0.0,0.0,0.0,4.912E-5,0.0,1.2696E-4,0.0,3.5254E-5,3.4965E-5,0.0
