"","lon","lat","KWH","percent","Base","lattilt","id","coords.x1","coords.x2"
"1",-2.094278,57.149717,42759802.03,0.0189081616360376,"ABERDEEN PG ",5.29,1,-2.094278,57.149717
"2",-85.38114,31.199418,4692.755556,2.07511205288107e-06,"ALABAMA ARNG",5.32,2,-85.38114,31.199418
"3",-149.8706198,61.1436239,19064.31944,8.43014271206563e-06,"ALASKA ARNG",5.29,3,-149.8706198,61.1436239
"4",-110.874437,32.1406628,10260416.72,0.00453710280648048,"ARIZONA ARNG ",6.68,4,-110.874437,32.1406628
"5",-94.378413,35.362967,0,0,"AR ARNG",5.05,5,-94.378413,35.362967
"6",-84.2584231,37.7027316,10248978.13,0.00453204472158905,"BLUE GRASS ARMY 
DEPOT",4.66,6,-84.2584231,37.7027316
"7",-120.4427604,34.9404213,2244017.047,0.000992292644594822,"CALIFORNIA ARNG",6.16,7,-120.4427604,34.9404213
"8",-77.16637,40.200088,217333.2417,9.61036269546925e-05,"CARLISLE Barricks",4.64,8,-77.16637,40.200088
"9",-104.970714,39.791642,8798.916667,3.89083509893091e-06,"COLORADO ARNG",5.85,9,-104.970714,39.791642
"10",-73.1498831,41.2297671,25516.85833,1.12834217849982e-05,"CONNECTICUT ARNG",4.69,10,-73.1498831,41.2297671
"11",-97.396381,27.8005828,0,0,"CORPUS CHRISTI AD",5.29,11,-97.396381,27.8005828
"12",-75.6683469,39.7335605,97081.38056,4.29288805918767e-05,"DELAWARE ARNG",4.78,12,-75.6683469,39.7335605
"13",-113.4190683,40.1265076,338758.2917,0.000149797151317905,"DUGWAY PROVING Ground",5.87,13,-113.4190683,40.1265076
"14",-81.3594155,28.5108071,242263.5056,0.000107127659739492,"FLORIDA ARNG ",5.39,14,-81.3594155,28.5108071
"15",-77.3184426,38.0691995,48440382.63,0.0214200847758122,"FORT A P HILL ",4.93,15,-77.3184426,38.0691995
"16",-77.1542684,38.7188716,7402235.294,0.00327322987390674,"FORT BELVOIR ",4.9,16,-77.1542684,38.7188716
"17",-84.9703715,32.3565078,406509.95,0.000179756581563798,"FORT BENNING ",5.18,17,-84.9703715,32.3565078
"18",-106.4336693,31.8072113,12537576.36,0.00554405093299361,"FORT BLISS ",6.64,18,-106.4336693,31.8072113
"19",-78.999167,35.139167,32403183.81,0.0143285190275638,"FORT BRAGG",5.14,19,-78.999167,35.139167
"20",-87.4773902,36.6634467,64755040.61,0.028634341518771,"FORT CAMPBELL",4.81,20,-87.4773902,36.6634467
"21",-104.7878521,38.7433633,387298102.1,0.171261202535492,"FORT CARSON",5.97,21,-104.7878521,38.7433633
"22",-77.4231264,39.4382526,792195.7972,0.000350304853383982,"FORT DETRICK",4.74,22,-77.4231264,39.4382526
"23",-75.758056,44.038056,61637877.74,0.0272559483412146,"FORT DRUM ",4.23,23,-75.758056,44.038056
"24",-76.5751881,37.1593302,6502399.417,0.00287532713814841,"FORT EUSTIS",5.05,24,-76.5751881,37.1593302
"25",-76.7268603,39.1135041,3094285.694,0.00136827700954234,"FORT GEORGE MEade",4.83,25,-76.7268603,39.1135041
"26",-82.1402652,33.418923,439945.8333,0.000194541754924436,"FORT GORDON ",5.24,26,-82.1402652,33.418923
"27",-145.554444,63.905,564890.45,0.000249791613341901,"FORT GREELY ",5.29,27,-145.554444,63.905
"28",-74.0315,40.6091,108226.675,4.78572717150372e-05,"FORT HAMILTON ",4.63,28,-74.0315,40.6091
"29",-97.7413143,31.1950013,171497045.1,0.0758350996709146,"FORT HOOD",5.29,29,-97.7413143,31.1950013
"30",-110.3499216,31.5552157,30835803.46,0.0136354316044238,"FORT HUACHUCA",6.39,30,-110.3499216,31.5552157
"31",-121.2369418,36.0086138,0,0,"FORT HUNTER LIGGETT",6.3,31,-121.2369418,36.0086138
"32",-116.6846351,35.2628402,169428126.5,0.074920234647144,"FORT IRWIN",6.83,32,-116.6846351,35.2628402
"33",-80.8322428,34.0550741,35895473.84,0.0158727914804819,"FORT JACKSON",5.19,33,-80.8322428,34.0550741
"34",-85.9562469,37.9161043,64755040.61,0.028634341518771,"FORT KNOX ",4.7,34,-85.9562469,37.9161043
"35",-94.9222099,39.3527829,338758.2917,0.000149797151317905,"FORT LEAVENWORTH",4.98,35,-94.9222099,39.3527829
"36",-73.9701381,40.8509333,47778704.09,0.0211274939734357,"FORT LEE ",4.6,36,-73.9701381,40.8509333
"37",-92.164672,37.725231,406509.95,0.000179756581563798,"FORT LEONARD Wood",4.9,37,-92.164672,37.725231
"38",-122.6024836,47.0888109,0,0,"FORT LEWIS ",3.81,38,-122.6024836,47.0888109
"39",-85.7787064,33.7232933,11925171.76,0.00527324881011828,"FORT MCCLELLAN ARNG
",5.03,39,-85.7787064,33.7232933
"40",-90.6845627,44.0108074,80701317.29,0.0356857019705073,"FORT MCCOY",4.45,40,-90.6845627,44.0108074
"41",-77.0138871,38.8682702,0,0,"FORT MCNAIR ",4.87,41,-77.0138871,38.8682702
"42",-84.4356468,33.7077085,1443608.928,0.000638356345305347,"FORT MCPHERSON ",5.08,42,-84.4356468,33.7077085
"43",-74.0453365,40.3139486,668131.0722,0.000295444078491135,"FORT MONMOUTH ",4.67,43,-74.0453365,40.3139486
"44",-76.3072229,37.0039058,455197.2889,0.000201285869115313,"FORT MONROE",5.08,44,-76.3072229,37.0039058
"45",-77.08092,38.878209,822405.4111,0.000363663387228052,"FORT MYER ",4.87,45,-77.08092,38.878209
"46",-93.0576199,31.089107,133383657.6,0.0589815583275443,"FORT POLK ",5,46,-93.0576199,31.089107
"47",-149.6883333,61.2544444,19866487.35,0.00878485718176502,"FORT RICHARDSON ",5.29,47,-149.6883333,61.2544444
"48",-96.813939,39.088346,3944847.639,0.00174439106933707,"FORT RILEY ",5.22,48,-96.813939,39.088346
