"","site_lon","site_lat","kwh","totkwh","distance","which","city"
"1",-158.0385714,21.4811563,5969.502,59695.02,1187248,NA,NA
"11",-149.8706198,61.1436239,5947.018,29735.09,5898115,NA,"Phoenix+AZ"
"16",-149.6883333,61.2544444,5947.018,13749505.616,5878708,NA,"Phoenix+AZ"
"2328",-147.6429151,64.8277871,5947.018,1391602.212,5699912,NA,"Phoenix+AZ"
"2562",-145.554444,63.905,5947.018,344927.044,1187248,NA,NA
"2620",-123.002595,44.91012,4845.302,363397.65,2071068,NA,"Phoenix+AZ"
"2695",-121.9071729,36.6069569,5834.598,962708.67,1113071,NA,"Phoenix+AZ"
"2860",-120.4427604,34.9404213,6925.072,1973645.52,855200,NA,"Phoenix+AZ"
"3145",-119.7415485,39.1508173,7003.766,238128.044,1187248,NA,"Phoenix+AZ"
"3179",-118.7198004,38.565724,6700.232,50104334.896,986267,NA,"Phoenix+AZ"
"10657",-116.6846351,35.2628402,7678.286,156045806.378,685287,NA,"Phoenix+AZ"
"30980",-116.2784008,43.6086827,6160.616,763916.384,1479017,NA,"Phoenix+AZ"
"31104",-114.2525392,33.0177811,7678.286,15195327.994,283907,NA,"Phoenix+AZ"
"33083",-114.22649,47.738437,5081.384,4740931.272,2019000,NA,"Phoenix+AZ"
"34016",-113.4190683,40.1265076,6599.054,250764.052,1096083,NA,"Phoenix+AZ"
"34054",-112.308556,40.317444,6228.068,16305082.024,1027212,NA,"Phoenix+AZ"
"36672",-112.0928535,46.6146031,5542.306,8507439.71,1842346,NA,"Phoenix+AZ"
"38207",-111.8893522,40.5161715,6216.826,37300.956,1032814,NA,"Phoenix+AZ"
"38213",-110.874437,32.1406628,7509.656,9049135.48,197518,NA,"Phoenix+AZ"
"39418",-110.3499216,31.5552157,7183.638,27319375.314,301666,NA,"Phoenix+AZ"
"43221",-106.4336693,31.8072113,7464.688,11510548.896,701538,NA,"Phoenix+AZ"
"44763",-106.4196598,32.943896,6947.556,10449124.224,725555,NA,"Phoenix+AZ"
"46267",-104.8406171,41.1700041,6216.826,5296735.752,1434256,NA,"Dallas+TX"
"47119",-104.7878521,38.7433633,6711.474,317130569.448,1154966,NA,"Dallas+TX"
"94371",-104.53504,33.320882,7228.606,9975476.28,799665,NA,"Dallas+TX"
"95751",-102.3523732,47.8819941,5115.11,10230.22,2071595,NA,"Dallas+TX"
"95753",-101.8704102,33.5816223,6880.104,2683240.56,557347,NA,"Dallas+TX"
"96143",-98.5090089,34.7045595,6228.068,59608838.828,337368,NA,"Dallas+TX"
"105714",-98.4334051,29.4784703,5857.082,16323687.534,431001,NA,"Dallas+TX"
"108501",-97.7413143,31.1950013,5947.018,121664094.244,257781,NA,"Dallas+TX"
"128959",-97.4695663,35.5052108,6025.712,18077.136,335510,NA,"Dallas+TX"
"128962",-96.813939,39.088346,5868.324,2840268.816,768351,NA,"Dallas+TX"
"129446",-96.3699053,42.3950575,5429.886,38009.202,1205647,NA,"Dallas+TX"
"129453",-96.0207485,41.2372125,5553.548,16660.644,1072541,NA,"Dallas+TX"
"129456",-95.9198387,34.8289468,5744.662,23823113.314,269461,NA,"Dallas+TX"
"133603",-94.9222099,39.3527829,5598.516,240736.188,894402,NA,"Dallas+TX"
"133646",-93.2704279,37.2237199,5542.306,260488.382,677544,NA,"Dallas+TX"
"133693",-93.097702,41.8780025,5171.32,7529441.92,1183529,NA,"Dallas+TX"
"135149",-92.164672,37.725231,5508.58,325006.22,813744,NA,"Dallas+TX"
"135208",-90.6845627,44.0108074,5002.69,49461596.03,1561170,NA,"Atlanta+GA"
"145095",-90.5472089,41.5177801,5227.53,282286.62,1264393,NA,"Atlanta+GA"
"145149",-89.3300458,43.1304182,5025.174,30151.044,1396570,NA,"Atlanta+GA"
"145155",-88.5337959,30.3797827,6014.47,36086.82,585312,NA,"Atlanta+GA"
"145161",-88.201466,40.118533,5272.498,31634.988,1008990,NA,"Atlanta+GA"
"145167",-86.5075091,36.0114914,5351.192,342476.288,377951,NA,"Atlanta+GA"
"145231",-85.9562469,37.9161043,5283.74,42016300.48,637389,NA,"Atlanta+GA"
