Base,State,Compatibility,MISSION,MMBtu,KWH
63RD RSC,CA ,G,,"8,374",2456070.939
81ST RSC,AL,R,,"3,495",1025073.792
88TH RSC ,MN,A,,"24,242",7110111.261
99TH RSC,PA,A,,"13,823",4054247.503
ABERDEEN PG ,MD,A,,"145,790",42759802.03
ADELPHI LABR CENTR,MD,A,,"1,966",576622.3389
ALABAMA ARNG,AL,R,,16,4692.755556
ALASKA ARNG,AK,G,,65,19064.31944
"ANNISTON ARMY DEPOT
",AL,R,G,"26,300",7713716.944
ARIZONA ARNG ,AZ,R,,"34,983",10260416.72
AR ARNG,AR,G,,0,0
"BLUE GRASS ARMY 
DEPOT",KY,R,,"34,944",10248978.13
CALIFORNIA ARNG,CA ,G,,"7,651",2244017.047
CARLISLE Barricks,PA,A,,741,217333.2417
COLORADO ARNG,CO,A,,30,8798.916667
CONNECTICUT ARNG,CT,A,,87,25516.85833
CORPUS CHRISTI AD,TX,A,,0,0
DELAWARE ARNG,DE,A,,331,97081.38056
"DESERET CHEMICAL DEPOT
",UT,A,,63226,18544010.17
DEVENS RFTA ,MA,A,,0,0
DUGWAY PROVING Ground,UT,A,,"1,155",338758.2917
FLORIDA ARNG ,FL,A,,826,242263.5056
FORT A P HILL ,VA,A,,"165,158",48440382.63
FORT BELVOIR ,VA,A,,"25,238",7402235.294
FORT BENNING ,GA,A,,"1,386",406509.95
FORT BLISS ,TX,A,,"42,747",12537576.36
FORT BRAGG,NC,A,,"110,479",32403183.81
FORT CAMPBELL,KY,R,,"220,783",64755040.61
FORT CARSON,CO,A,G,"1,320,497",387298102.1
FORT DETRICK,MD,A,,"2,701",792195.7972
FORT DRUM ,NY,A,,"210,155",61637877.74
FORT EUSTIS,VA,A,,"22,170",6502399.417
FORT GEORGE MEade,MD,A,,"10,550",3094285.694
FORT GORDON ,GA,A,,"1,500",439945.8333
FORT GREELY ,AK,A,,"1,926",564890.45
FORT HAMILTON ,NY,R,,369,108226.675
FORT HOOD,TX,A,,"584,721",171497045.1
FORT HUACHUCA,AZ,A,,"105,135",30835803.46
