UUID,Category,Sub category,Elementary flowname,Unit,resources - fossil fuels,resources - mineral extraction
08a91e70-3ddc-11dd-93f0-0050c2490048,resource,in ground,"Aggregate, natural",kg,0,0
fe0acd60-3ddc-11dd-aaa4-0050c2490048,resource,in air,Air,kg,0,0
be3dc127-3f95-455a-af63-7e3f35717700,resource,in ground,Albite,kg,0,0
a4b01216-5a08-4078-b5fd-16e437929eb9,resource,in ground,Aluminium,kg,0,0.080135
0305b169-255d-4041-8f5d-6e095bcb6358,resource,unspecified,Aluminium,kg,0,0.080135
8bc65fca-548d-4831-b102-391bbdd6bc8c,resource,in ground,"Aluminium, 24% in bauxite, 11% in crude ore, in ground",kg,0,0.080135
6df9ea09-115a-4678-9f30-d92c877a46ec,resource,in ground,"Anhydrite, in ground",kg,0,0
9dcebf82-e6b3-400d-98bb-353ac079cbe1,resource,in ground,Antimony,kg,0,0
08a91e70-3ddc-11dd-97f9-0050c2490048,resource,in ground,Barite,kg,0,0
c13beafb-2aed-4a52-b09a-78d28913b6ce,resource,in ground,"Barite, 15% in crude ore, in ground",kg,0,0
ac3a8914-35f0-4c34-a956-f26b3a053e4a,resource,in ground,"Basalt, in ground",kg,0,0
733b2c7c-60ef-4c1b-b9cb-c010e3fd2275,resource,in ground,Bauxite,kg,0,0
0a1535df-c1a6-4cb9-bc4d-b5d71b8e7d6a,resource,land,Biotic Production,kg,0,0
4aa7d05c-1cc7-4468-a017-e17ce80581b8,resource,land,Biotic Production,kg/a,0,0
eead2933-c2be-4a53-a0bd-bd33b67e4145,resource,in ground,"Borax, in ground",kg,0,0
094ded20-e873-4338-8d81-b570a1d65acc,resource,in ground,Boron,kg,0,0
8eb500c5-e7d2-4275-800d-51d63eab8d40,resource,in ground,Bromine,kg,0,0
61341186-aac8-4088-a2b7-ba50093bab6c,resource,in water,"Bromine, 0.0023% in water",kg,0,0
5a70cbea-10de-477b-ba2f-c219884b39e1,resource,in ground,brown coal;  11.9 MJ/kg,kWh,0,0
fb3fed88-dc84-4f40-be2d-757a002bcfa5,resource,in ground,Cadmium,kg,0,0
621b1cf1-9b47-4c44-b71e-ebeb9afd9bbc,resource,in ground,"Cadmium, 0.30% in sulfide, Cd 0.18%, Pb, Zn, Ag, In, in ground",kg,0,0
99ee393d-4bd1-4cc8-b0a0-d956865fb7bf,resource,in ground,"Calcite, in ground",kg,0,0
943a98d1-5111-4a07-ba2c-6d1f8e70a815,resource,in ground,Calcium,kg,0,0
600b1c44-b10d-4a1e-8426-62779c118d34,resource,in ground,"Calcium carbonate, in ground",kg,0,0
08a91e70-3ddc-11dd-97ec-0050c2490048,resource,in ground,Calcium chloride,kg,0,0
80bb6903-93b7-4c04-ac53-37775125af8d,resource,in ground,Carbon,kg,0,0
cc6a1abb-b123-4ca6-8f16-38209df609be,resource,in air,"Carbon dioxide, in air",kg,0,0
08a91e70-3ddc-11dd-923c-0050c2490048,resource,in air,"Carbon dioxide, land transformation",kg,0,0
8c2fe757-6866-4ed2-9f89-81012ad774a0,resource,in ground,"Carbon, in organic matter, in soil",kg,0,0
7a636bea-94c0-4774-a791-2512b7fbda94,resource,in ground,"Cerium, 24% in bastnasite, 2.4% in crude ore, in ground",kg,0,0
bdb1d022-b426-48ac-853f-5ae6e5786873,resource,in ground,"Cerium, in ground",kg,0,0
46fe6694-560b-4e2f-b1b8-25d451a6e1d8,resource,in water,Chlorine,kg,0,0
08a91e70-3ddc-11dd-9f78-0050c2490048,resource,in ground,Chromium,kg,0,0.030859
7f33171b-d351-479a-8074-f3d8db3ad50a,resource,unspecified,Chromium,kg,0,0.030859
4390a7a6-ede6-4e7c-8176-7a348493c0d0,resource,in ground,"Chromium ore, in ground",kg,0,0.030859
ef6dd09f-bddc-49b4-a207-dbaec2f07bb5,resource,in ground,"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground",kg,0,0.030859
c5f5aeb8-7558-4a0c-9594-27621b9cfbc5,resource,in ground,"Chrysotile, in ground",kg,0,0
15545dca-018d-4f7f-aa1f-796b707180af,resource,in ground,"Cinnabar, in ground",kg,0,5.5724
