UUID,Category,Sub category,Elementary flowname,Unit,acidification,ecotoxicity,eutrophication,globalwarming,ozonedepletion,photochemicaloxidation,carcinogenics,non-carcinogenics,respiratory.effects
76faabef-4ccc-49e1-8f90-9bba6aa50da4,air,unspecified,(1s)-(-)-alpha-pinene,kg,0,0,0,0,0,0,0,0,0
10efca52-061d-40c1-aac6-f12c010214f9,soil,unspecified,"1,1,1,2-TETRACHLORROETHANE",kg,0,0,0,0,0,0,0,0,0
95036b30-ff1c-4f8c-abc8-18aaa3eb0eef,soil,unspecified,"1,1,2,2-Tetrachloroethane",kg,0,0,0,0,0,0,0,0,0
1fb1eeca-3279-4c5a-bb35-c23a5a50ac9d,air,unspecified,"1,2,3-Trimethyl Benzene",kg,0,0,0,0,0,0,0,0,0
b514ddac-92a4-4c76-9c67-4188c5b7ff47,air,unspecified,"1,2,3-trimethylbenzene",kg,0,0,0,0,0,0,0,0,0
c4941cde-5c82-430f-a92e-2d10c0ecd075,soil,unspecified,"1,2,4-trichlorobenzene",kg,0,0,0,0,0,0,0,0,0
2dc71d27-d3ac-4496-8b6c-38a0d192d0b3,soil,unspecified,"1,2-Dibromo-3-chloropropane",kg,0,0,0,0,0,0,0,0,0
eac3e3a0-52f4-482b-a453-39cf6e0dda76,soil,unspecified,"1,2-DICHLOROETHYLENE",kg,0,0,0,0,0,0,0,0,0
70bf49e6-c9f9-467c-81bb-cd753c19aaca,soil,unspecified,"1,2-dinitrobenzene",kg,0,0,0,0,0,0,0,0,0
1b504126-dac8-45a4-b0af-5aec970fcb18,soil,unspecified,"1,2-phenylenediamine",kg,0,0,0,0,0,0,0,0,0
fc16afa5-490b-42a2-a6d8-c898ff2c6cec,soil,unspecified,"1,3-dichlorobenzene",kg,0,0,0,0,0,0,0,0,0
3c7e0de2-e86b-4383-8ee2-811a315cbfe1,soil,unspecified,"1,3-PHENYLENEDIAMINE",kg,0,0,0,0,0,0,0,0,0
09db39be-d9a6-4fc3-8d25-1f80b23e9131,air,unspecified,"1,4-Butanediol",kg,0,0,0,0,0,0,0,0,0
d835b7aa-288b-4b3a-966b-3f64f36ed220,water,unspecified,"1,4-Butanediol",kg,0,0,0,0,0,0,0,0,0
93f42ed2-f818-4239-b220-454fe7cb9d41,soil,unspecified,"1,4-dichlorobenzene",kg,0,0,0,0,0,0,0,0,0
e3424563-7623-4128-8cfe-d66cb578d6aa,soil,unspecified,"1,4-dinitrobenzene",kg,0,0,0,0,0,0,0,0,0
2ea87f8e-4a8c-478c-b6e1-45c7bd5eaf24,air,unspecified,"1,4-DIOXANE",kg,0,0,0,0,0,0,0,0,0
d67dbeee-1359-49de-a686-c720ba661c97,soil,unspecified,"1,4-DIOXANE",kg,0,0,0,0,0,0,0,0,0
6805680b-b50a-4f8e-82ea-1581a4e7d788,air,unspecified,1-Butanol,kg,0,0,0,0,0,0,0,0,0
eca23d30-748f-43dc-86b7-c833ccba8a1c,air,unspecified,1-Butene,kg,0,0,0,0,0,0,0,0,0
0a1c31ee-d004-4b9e-9c9e-2e5fd03e4e45,air,unspecified,1-butoxy-2-propanol,kg,0,0,0,0,0,0,0,0,0
29732347-e82f-43dd-b13a-8a42c7f92185,air,unspecified,1-Butoxypropanol,kg,0,0,0,0,0,0,0,0,0
ea8abf93-ebaf-4e08-b12b-248c89f690ad,soil,unspecified,1-Chloropropene,kg,0,0,0,0,0,0,0,0,0
9c6f665b-3a73-4a33-a10a-d25a1ec6c678,air,unspecified,1-Hexene,kg,0,0,0,0,0,0,0,0,0
00b8c5b8-8f45-445f-839c-2017fe3ad8b8,air,unspecified,1-Methyl-2-pyrrolidinone,kg,0,0,0,0,0,0,0,0,0
a91cc431-0fdd-43bf-8657-2bf9d296be62,soil,unspecified,1-Octanol,kg,0,0,0,0,0,0,0,0,0
048baf1e-6cdc-44a5-92e2-32d15ff54885,air,unspecified,1-Pentanol,kg,0,0,0,0,0,0.6796,0,0,0
506bcd3f-341d-4934-8dae-efe0b495d3fc,soil,unspecified,1-Pentanol,kg,0,0,0,0,0,0,0,0,0
070dc6b3-0976-45a0-803e-0a87d7e96959,water,unspecified,1-Pentanol,kg,0,0,0,0,0,0,0,0,0
651cbfbb-3027-4e20-a5b0-4a67e86e837a,air,unspecified,1-Pentene,kg,0,0,0,0,0,1.6226,0,0,0
109c3ee9-b9df-4c11-bd77-b8571773d9ad,water,unspecified,1-Pentene,kg,0,0,0,0,0,0,0,0,0
467a7c34-1352-4793-b50f-e8c96e47058e,air,unspecified,"1-Propanol, 3,3,3-trifluoro-2,2-bis(trifluoromethyl)-, HFE-7100",kg,0,0,0,0,0,0,0,0,0
b08da7ad-118b-4dee-8c79-cb947949f390,air,unspecified,1-Propyl Benzene,kg,0,0,0,0,0,0,0,0,0
677d791f-ff88-4a8b-a01d-129f1aa81a4e,soil,unspecified,1-Propyl Benzene,kg,0,0,0,0,0,0,0,0,0
6e37c774-caff-433d-8b50-a7937902be6b,air,unspecified,1-Propylacetate,kg,0,0,0,0,0,0,0,0,0
dc244f71-5289-4b32-b04e-0c23e5ca16b1,soil,unspecified,1-Propylacetate,kg,0,0,0,0,0,0,0,0,0
c88a91dc-117a-479d-be84-0b7e57717fc7,air,unspecified,1-Undecane,kg,0,0,0,0,0,0,0,0,0
63501407-9885-4bac-a31e-0f760c313607,air,unspecified,"2,2-Dimethylbutane",kg,0,0,0,0,0,0,0,0,0
768a9d0d-b058-4471-96b9-26599a6eccef,air,unspecified,"2,3- Dimethylbutane",kg,0,0,0,0,0,0,0,0,0
530ba4c7-be68-413c-808d-69ba36995bc8,soil,unspecified,"2,4,5-T",kg,0,0,0,0,0,0,0,0,0
fac1c200-9d94-4b81-805d-073aad052753,soil,unspecified,"2,4,5-Trichlorophenol",kg,0,0,0,0,0,0,0,0,0
cfe8c2ef-bbaa-47e4-9bef-34d387ffbe9f,soil,unspecified,"2,4,6-Trichlorophenol",kg,0,0,0,0,0,0,0,0,0
442fbb27-db5f-4fca-8563-d1a5579f4b87,soil,unspecified,"2,4,6-trinitrotoluene",kg,0,0,0,0,0,0,0,0,0
90eaae43-2231-474b-b089-c01051a88400,air,unspecified,"2,4-D",kg,0,0,0,0,0,0,0,0,0
8a99476c-32fa-4426-aa98-e96ae516f0d6,soil,unspecified,"2,4-D",kg,0,0,0,0,0,0,0,0,0
63e76211-8549-11e0-9d78-0800200c9a66,water,unspecified,"2,4-D",kg,0,0,0,0,0,0,0,0,0
a9cec965-c573-4596-b3f2-fda2ccb8bba8,soil,unspecified,"2,4-DIAMINOTOLUENE",kg,0,0,0,0,0,0,0,0,0
0ddf67b9-84f7-47e8-bccb-d4a9b53e8241,soil,unspecified,"2,4-DINITROPHENOL",kg,0,0,0,0,0,0,0,0,0
3ffd879d-e72d-44ef-bd40-f1f3ad2f91a8,air,unspecified,"2,4/2,6-toluenediisocyanate (mixture)",kg,0,0,0,0,0,0,0,0,0
3ea0eeb9-d4f2-4918-a653-365f5623b68b,soil,unspecified,"2,6-Dinitrotoluene",kg,0,0,0,0,0,0,0,0,0
10ca381e-e442-4dda-a312-4f11cf4435de,soil,unspecified,2-Acetylaminofluorene,kg,0,0,0,0,0,0,0,0,0
3e07d825-a98e-4cdc-afa3-610fa7739261,air,unspecified,2-Aminopropanol,kg,0,0,0,0,0,0,0,0,0
ea6f1100-7fe4-4f66-92cc-a69fe2dcca77,water,unspecified,2-Aminopropanol,kg,0,0,0,0,0,0,0,0,0
7a61bd4e-866d-4ce7-ae00-9d2703d08d64,soil,unspecified,2-butenal,kg,0,0,0,0,0,0,0,0,0
97045e01-b4df-4279-8c56-0ac84894ee1a,soil,unspecified,"2-Chloro-1,1,1-trifluoroethane",kg,0,0,0,0,0,0,0,0,0
a6948921-d5ca-4770-ba23-99047a15f553,air,unspecified,2-Chloro-1-phenylethanone,kg,0,0,0,0,0,0,0,0,0
6e214c03-b5d5-43a0-bf63-01f346d1b42f,soil,unspecified,2-Chloro-1-phenylethanone,kg,0,0,0,0,0,0,0,0,0
